,time,retweet_count,text Positive Sentiment Score,text Negative Sentiment Score
186,2022-04-26 19:59:00+00:00,1038,0.0,0.0
187,2022-04-26 19:55:50+00:00,130,0.087,0.128
188,2022-04-26 19:45:17+00:00,3619,0.128,0.21
189,2022-04-26 19:40:46+00:00,1008,0.0,0.108
190,2022-04-26 17:59:54+00:00,7228,0.34,0.0
191,2022-04-26 15:21:58+00:00,2826,0.243,0.0
192,2022-04-26 15:18:48+00:00,4685,0.0,0.099
193,2022-04-26 14:08:58+00:00,22,0.163,0.0
194,2022-04-26 12:39:39+00:00,40,0.0,0.0
195,2022-04-26 12:38:05+00:00,199,0.13,0.13
196,2022-04-26 12:30:26+00:00,237,0.0,0.106
197,2022-04-26 11:41:13+00:00,2680,0.0,0.0
198,2022-04-26 11:41:01+00:00,1622,0.16,0.0
199,2022-04-26 08:13:10+00:00,2294,0.246,0.194
200,2022-04-26 08:04:44+00:00,6285,0.172,0.264
201,2022-04-25 20:32:25+00:00,3873,0.171,0.0
202,2022-04-25 20:22:54+00:00,205,0.27,0.0
203,2022-04-25 20:17:23+00:00,1785,0.0,0.14
204,2022-04-25 20:16:30+00:00,1549,0.153,0.0
205,2022-04-25 15:24:10+00:00,1045,0.163,0.0
206,2022-04-25 15:23:56+00:00,659,0.103,0.329
207,2022-04-25 15:13:55+00:00,153,0.0,0.143
208,2022-04-25 15:05:10+00:00,27,0.0,0.0
209,2022-04-25 14:32:05+00:00,1763,0.0,0.54
210,2022-04-25 14:31:18+00:00,621,0.0,0.0
211,2022-04-25 10:17:01+00:00,2653,0.0,0.28
212,2022-04-25 08:47:43+00:00,117,0.0,0.0
213,2022-04-25 07:01:23+00:00,835,0.13,0.0
214,2022-04-25 06:23:33+00:00,1548,0.0,0.138
215,2022-04-25 06:18:42+00:00,2,0.0,0.0
216,2022-04-24 20:44:12+00:00,1,0.333,0.0
217,2022-04-24 20:14:06+00:00,763,0.0,0.291
218,2022-04-24 20:11:42+00:00,3968,0.0,0.067
219,2022-04-24 20:09:29+00:00,8,0.437,0.0
220,2022-04-24 20:02:50+00:00,4157,0.0,0.0
221,2022-04-24 20:02:26+00:00,463,0.0,0.3
222,2022-04-24 20:00:14+00:00,382,0.0,0.0
223,2022-04-24 18:52:01+00:00,533,0.317,0.0
224,2022-04-24 16:13:46+00:00,1358,0.0,0.0
225,2022-04-24 14:41:11+00:00,1239,0.0,0.171
226,2022-04-24 12:30:36+00:00,175,0.0,0.0
227,2022-04-24 10:01:54+00:00,326,0.102,0.121
228,2022-04-24 09:44:02+00:00,6902,0.149,0.0
229,2022-04-24 09:42:17+00:00,8,0.0,0.0
230,2022-04-24 09:41:37+00:00,1,0.0,0.0
231,2022-04-24 08:53:14+00:00,212,0.0,0.095
232,2022-04-24 08:50:58+00:00,3,0.646,0.0
233,2022-04-24 08:48:42+00:00,401,0.0,0.132
234,2022-04-24 08:47:18+00:00,2797,0.244,0.195
235,2022-04-24 08:46:05+00:00,615,0.0,0.167
236,2022-04-24 08:40:44+00:00,1,0.0,0.0
237,2022-04-24 08:34:32+00:00,1,0.807,0.0
238,2022-04-24 08:32:36+00:00,9122,0.076,0.0
239,2022-04-24 08:32:00+00:00,175,0.159,0.0
240,2022-04-24 08:27:11+00:00,1014,0.116,0.0
241,2022-04-24 08:27:02+00:00,497,0.0,0.0
242,2022-04-24 08:19:46+00:00,1,0.351,0.0
243,2022-04-24 08:04:02+00:00,263,0.244,0.117
244,2022-04-24 07:57:37+00:00,6,0.0,0.0
245,2022-04-24 06:07:53+00:00,3027,0.0,0.0
246,2022-04-24 06:05:51+00:00,1,0.0,0.0
247,2022-04-24 06:05:10+00:00,2533,0.0,0.0
248,2022-04-24 06:05:01+00:00,1237,0.0,0.134
249,2022-04-23 20:54:05+00:00,213,0.0,0.144
250,2022-04-23 20:51:23+00:00,1041,0.198,0.0
251,2022-04-23 20:50:48+00:00,31,0.259,0.0
252,2022-04-23 20:37:51+00:00,1354,0.091,0.142
253,2022-04-23 20:36:57+00:00,665,0.177,0.0
254,2022-04-23 20:21:33+00:00,286,0.097,0.244
255,2022-04-23 20:16:13+00:00,2,0.241,0.291
256,2022-04-23 20:11:13+00:00,3528,0.0,0.0
257,2022-04-23 19:45:34+00:00,485,0.113,0.0
258,2022-04-23 19:44:48+00:00,4,0.0,0.0
259,2022-04-23 19:43:34+00:00,1269,0.236,0.0
260,2022-04-23 19:43:13+00:00,3613,0.223,0.0
261,2022-04-23 19:42:13+00:00,1318,0.11,0.0
262,2022-04-23 19:40:26+00:00,280,0.0,0.163
263,2022-04-23 18:07:43+00:00,508,0.0,0.394
264,2022-04-23 18:02:49+00:00,287,0.051,0.24
265,2022-04-23 17:12:44+00:00,8455,0.0,0.344
266,2022-04-23 17:12:36+00:00,3106,0.068,0.205
267,2022-04-23 12:56:22+00:00,448,0.163,0.0
268,2022-04-23 12:56:02+00:00,5887,0.0,0.0
269,2022-04-23 12:55:08+00:00,156,0.061,0.0
270,2022-04-23 12:49:44+00:00,5054,0.0,0.0
271,2022-04-23 12:39:38+00:00,538,0.126,0.061
272,2022-04-23 12:18:49+00:00,1506,0.0,0.0
273,2022-04-23 08:06:24+00:00,2123,0.0,0.0
274,2022-04-23 07:19:20+00:00,7370,0.0,0.104
275,2022-04-23 06:17:06+00:00,3729,0.0,0.065
276,2022-04-22 21:37:00+00:00,1,0.482,0.0
277,2022-04-22 21:35:36+00:00,143,0.228,0.122
278,2022-04-22 21:26:06+00:00,7,0.121,0.203
279,2022-04-22 21:05:54+00:00,1292,0.0,0.0
280,2022-04-22 21:04:20+00:00,817,0.127,0.0
281,2022-04-22 20:52:19+00:00,34,0.0,0.0
282,2022-04-22 20:51:28+00:00,1771,0.0,0.0
283,2022-04-22 20:50:35+00:00,1933,0.086,0.097
284,2022-04-22 20:46:56+00:00,4386,0.059,0.279
285,2022-04-22 20:44:31+00:00,1,0.0,0.0
286,2022-04-22 20:43:17+00:00,262,0.0,0.0
287,2022-04-22 20:36:33+00:00,1,0.0,0.0
288,2022-04-22 20:24:33+00:00,841,0.197,0.0
289,2022-04-22 20:10:56+00:00,1038,0.099,0.163
290,2022-04-22 20:00:50+00:00,5690,0.112,0.245
291,2022-04-22 19:55:09+00:00,1,0.583,0.0
292,2022-04-22 19:54:51+00:00,177,0.43,0.0
293,2022-04-22 17:11:45+00:00,6607,0.033,0.452
294,2022-04-22 16:06:01+00:00,1013,0.142,0.112
295,2022-04-22 15:19:45+00:00,2197,0.0,0.0
296,2022-04-22 15:18:29+00:00,25852,0.0,0.398
297,2022-04-22 15:15:01+00:00,443,0.0,0.0
298,2022-04-22 13:53:27+00:00,77,0.136,0.185
299,2022-04-22 08:50:38+00:00,1611,0.219,0.0
300,2022-04-22 08:41:42+00:00,121,0.0,0.0
301,2022-04-22 08:40:01+00:00,1601,0.071,0.0
302,2022-04-22 07:31:31+00:00,3,0.0,0.0
303,2022-04-22 07:28:00+00:00,172,0.148,0.0
304,2022-04-22 07:16:41+00:00,132,0.0,0.0
305,2022-04-22 07:16:09+00:00,4,0.0,0.0
306,2022-04-22 07:15:35+00:00,1207,0.096,0.225
307,2022-04-22 07:08:36+00:00,97,0.0,0.0
308,2022-04-22 07:08:07+00:00,1823,0.154,0.0
309,2022-04-22 07:06:18+00:00,523,0.043,0.087
310,2022-04-21 18:24:22+00:00,2995,0.067,0.138
311,2022-04-21 17:03:58+00:00,3808,0.148,0.0
312,2022-04-21 16:49:40+00:00,212,0.079,0.0
313,2022-04-21 16:48:08+00:00,5134,0.109,0.0
314,2022-04-21 16:46:41+00:00,1743,0.0,0.294
315,2022-04-21 16:38:38+00:00,1047,0.0,0.0
316,2022-04-21 16:36:42+00:00,769,0.0,0.0
317,2022-04-21 11:25:30+00:00,583,0.0,0.0
318,2022-04-21 11:23:51+00:00,34,0.0,0.0
319,2022-04-21 11:15:40+00:00,408,0.0,0.064
320,2022-04-21 10:41:56+00:00,4932,0.0,0.101
321,2022-04-21 10:06:37+00:00,347,0.0,0.0
322,2022-04-21 09:35:00+00:00,1081,0.064,0.089
323,2022-04-21 09:32:34+00:00,1,0.0,0.0
324,2022-04-21 09:29:46+00:00,1457,0.0,0.097
325,2022-04-21 09:29:15+00:00,736,0.0,0.405
326,2022-04-21 09:17:09+00:00,6,0.203,0.148
327,2022-04-21 09:15:32+00:00,985,0.162,0.0
328,2022-04-21 09:14:32+00:00,2144,0.161,0.0
329,2022-04-21 09:04:14+00:00,473,0.041,0.366
330,2022-04-21 09:00:01+00:00,131,0.072,0.0
331,2022-04-21 08:54:20+00:00,6,0.0,0.274
332,2022-04-21 08:52:46+00:00,126,0.0,0.0
333,2022-04-21 08:47:58+00:00,409,0.0,0.202
334,2022-04-21 08:47:51+00:00,3083,0.0,0.0
335,2022-04-21 08:42:22+00:00,1045,0.0,0.0
336,2022-04-21 07:57:37+00:00,1,0.0,0.0
337,2022-04-21 07:52:47+00:00,545,0.211,0.109
338,2022-04-21 07:51:57+00:00,13630,0.0,0.0
339,2022-04-21 07:33:34+00:00,716,0.0,0.0
340,2022-04-21 05:59:34+00:00,612,0.0,0.155
341,2022-04-20 15:09:40+00:00,9503,0.0,0.0
342,2022-04-20 15:06:48+00:00,175,0.076,0.207
343,2022-04-20 13:49:05+00:00,236,0.146,0.0
344,2022-04-20 12:03:25+00:00,90,0.167,0.0
345,2022-04-20 11:57:42+00:00,180,0.183,0.131
346,2022-04-20 11:56:50+00:00,3595,0.14,0.136
347,2022-04-20 11:02:17+00:00,1835,0.084,0.09
348,2022-04-20 10:33:29+00:00,95,0.0,0.0
349,2022-04-20 10:27:57+00:00,35,0.0,0.0
350,2022-04-20 10:26:05+00:00,90,0.0,0.163
351,2022-04-20 10:11:33+00:00,1801,0.074,0.412
352,2022-04-20 10:11:11+00:00,1547,0.0,0.0
353,2022-04-20 09:06:49+00:00,594,0.071,0.0
354,2022-04-20 08:57:38+00:00,2312,0.191,0.0
355,2022-04-20 08:31:28+00:00,345,0.0,0.094
356,2022-04-20 08:26:10+00:00,2005,0.0,0.245
357,2022-04-20 08:24:30+00:00,201,0.0,0.167
358,2022-04-20 08:21:06+00:00,4660,0.061,0.0
359,2022-04-20 08:15:46+00:00,820,0.0,0.12
360,2022-04-20 08:13:44+00:00,82,0.375,0.0
